"You will be redirected to the T-Com Payway website in a few seconds.","Biti ćete preusmjereni na T-Com Payway web stranicu za nekoliko trenutaka."
"Click here if you are not redirected within 10 seconds...","Stisnite ovdje ako niste preusmjereni unutar 10 sekundi..."
"Order canceled through PayWay system, result message: %s","Narudžba je poništena preko PayWay sistema, poruka: %s"
"Order %s has been successfully canceled!","Narudžba je uspješno poništena!"
"Missing required parameters from PayWay.","Potrebni parametri sa PayWay-a nisu poslani."
"PayWay transaction signature mismatch.","Token nije valjan."
"PayWay system successfully authorized %s card. PayWay Transaction ID %s.","PayWay sistem je uspješno autorizirao %s karticu. PayWay ID transakcije je %s."
"PayWay system successfully authorized and captured %s card. PayWay Transaction ID %s.","PayWay sistem je uspješno autorizirao i teretio %s karticu."
"Current order state does not allow this action.","Trenutno stanje narudžbe ne dozvoljava ovu akciju."
"Order information could not be found. Either cookie/session was destroyed or you accessed this link directly.","Nije moguće pronaći narudžbu. Ili je kolačić/sesija uništena ili ste pristupili ovoj lokaciji direktno."
