"%s Index process is working now. Please try run this process later.","%s Indeksiranje je u tijeku. Molim probajte ovaj proces kasnije."
"%s index was rebuilt.","%s indeks je ponovno izgrađen."
"'%s' Index Process Information","'%s' Informacije Procesa Indeksa"
"Action","Akcija"
"Cannot initialize the indexer process.","Ne mogu pokrenuti proces indeksiranja."
"Change Index Mode","Promjena načina indeksa"
"Click here to go to <a href=""%s"">Cache Management</a> and refresh cache types.","Kliknite ovdje za <a href=""%s"">Upravljanje privremenom memorijom</a> i osjvežite tipove privremene memorije."
"Click here to go to <a href=""%s"">Index Management</a> and rebuild required indexes.","Kliknite ovdje za <a href=""%s"">Upravljanje Indeksom</a> i ponovno izgradite potrebne indekse."
"Delete","Obriši"
"Description","Opis"
"Disable","Onemogući"
"Enable","Omogući"
"General","Generalno"
"Index","Indeks"
"Index Description","Opis Indeksa"
"Index Management","Upravljanje indeksom"
"Index Mode","Način indeksa"
"Index Name","Naziv indexa"
"Index mode","Način indeksa"
"Indexer code is not defined.","Kod ideksa nije definiran."
"Indexer model is not defined.","Model indeksa nije definiran."
"Indexer model should extend Mage_Index_Model_Indexer_Abstract.","Model indeksa bi trebao extend Mage_Index_Model_Indexer_Abstract."
"Manual Update","Ručno ažuriranje"
"Mode","Način"
"Never","Nikad"
"No","Ne"
"One or more of the Indexes are not up to date:","Jedan ili više indeksa su zastarijeli:"
"Please select Index(es)","Molim odaberite indeks(e)"
"Please select Indexes","Molim odaberite indekse"
"Process Information","Informacije procesa"
"Processing","Izvršavam"
"Ready","Spreman"
"Refresh","Osvježi"
"Reindex Data","Reindeksiraj"
"Reindex Required","Reindeksiranje potrebno"
"Revoke","Revoke"
"Status","Status"
"System","Sistem"
"The index has been saved.","Indeks je spremljen."
"There was a problem with reindexing process.","Došlo je do problema pri reindeksiranju."
"There was a problem with saving process.","Došlo je do problema pri spremanju."
"Total of %d index(es) have changed index mode.","Ukupno %d indeks(a) je promjenilo način indeksiranja."
"Total of %d index(es) have reindexed data.","Ukupno %d indeks(a) je reindeksiralo podatke."
"Update Required","Ažuriranje potrebno"
"Update on Save","Ažuriraj pri spremanju"
"Updated At","Ažuriraj pri"
"Yes","Da"
