"ALL","SVE"
"ANY","BILO KOJI"
"Add","Dodaj"
"Apply","Potvrdi"
"Description: %s","Opis: %s"
"Expire at: %s","Ističe u: %s"
"FALSE","NETOČNO"
"If %s of these conditions are %s:","Ako je %s od tih uvjeta %s:"
"Invalid discount amount.","Neispravna vrijednost popusta."
"MATCHING ALL","POKLAPA SE SA SVIMA"
"MATCHING ANY","POKLAPA SE SA BILO KOJIM"
"NOT MATCHING ALL","NE POKLAPA SE SA SVIMA"
"NOT MATCHING ANY","NE POKLAPA SE SA BILO KOJIM"
"Name: %s","Ime: %s"
"Open Chooser","Otvori alat za biranje"
"Perform following actions","Izvedi slijedeće akcije"
"Please choose a condition to add...","Molim odaberite uvjet za dodavanje..."
"Please choose an action to add...","Molim odaberite akciju za dodavanja..."
"Remove","Uklonite"
"Start at: %s","Počni od: %s"
"TRUE","TOČNO"
"by","po"
"contains","sadrži"
"does not contain","ne sadrži"
"equals or greater than","veće ili jednako od"
"equals or less than","manje ili jednako od"
"greater than","veće od"
"is","je"
"is not","nije"
"is not one of","nije jedan od"
"is one of","je jedan od"
"less than","manje od"
"to","do"
